experiment,MAE,RMSE,MAPE,sMAPE,R2,training_seconds,n_features,run_id
1_lgbm_baseline,18.677091709688625,278.78662963728146,36.60674825431972,64.27867140260692,0.9376595937477351,25.496853828430176,23,00b7de86c0d34bb89b8ad0c19ba515c1
2_lgbm_deep,18.490577415966676,263.1499167308272,36.80663355465264,69.13986676071477,0.9444566309486323,52.68453121185303,23,0c8b082ea73c4fe1bbd4ffc13e389382
3_lgbm_shallow,19.327034342727416,308.0213171878059,36.918311884633596,63.71450292192563,0.9238995381628843,8.75788426399231,23,e23f53deb2c14c33904c694a2b816176
4_lgbm_no_log_target,17.898652149780162,231.279342668851,54.408652133451774,60.82812920351176,0.957095837022313,29.42845582962036,23,f6faf25f29534adebb0f75e6893d1ab5
5_lgbm_minimal_features,21.64603270688725,305.7694616290472,59.63304329833332,118.99061561891138,0.9250081681834041,28.18634867668152,8,39f382c8561e4cb1871dea029acf8333
